food,measure,grams,calories,protein,fat,satFat,fiber,carbs,category
Tomato catsup,1 T.,17,15,0,0,0,0,4,Vegetables R-Z
Turnip greens,1 cup,145,45,4,1,0,1.8,8,Vegetables R-Z
"Turnips, steamed",1 cup,155,40,1,0,0,1.8,9,Vegetables R-Z
"Watercress stems, raw",1 cup,50,9,1,0,0,0.3,1,Fruits A-F
Apple juice canned,1 cup,250,125,0,0,0,0,34,Fruits A-F
Apple vinegar,1/3 cup,100,14,0,0,0,0,3,Fruits A-F
"Apples, raw",1 med,130,70,0,0,0,1,18,Fruits A-F
Stewed or canned,1 cup,240,100,0,0,0,2,26,Fruits A-F
Apricots,1 cup,250,220,2,0,0,1,57,Fruits A-F
"Dried, uncooked",1/2 cup,75,220,4,0,0,1,50,Fruits A-F
Fresh,3 med.,114,55,1,0,0,0.70,14,Fruits A-F
"Nectar, or juice",1 cup,250,140,1,0,0,2,36,Fruits A-F
Avocado,1/2 large,108,185,2,18,12,1.80,6,Fruits A-F
Banana,1 med.,150,85,1,0,0,0.9,23,Fruits A-F
Blackberries,1 cup,144,85,2,1,0,6.60,19,Fruits A-F
Blueberries,1 cup,250,245,1,0,0,2,65,Fruits A-F
Cantaloupe,1/2 med.,380,40,1,0,0,2.20,9,Fruits A-F
Cherries,1 cup,257,100,2,1,0,2,26,Fruits A-F
"Fresh, raw",1 cup,114,65,1,0,0,0.8,15,Fruits A-F
Cranberry sauce sweetened,1 cup,277,530,0,0,0,1.2,142,Fruits A-F
Dates,1 cup,178,505,4,0,0,3.6,134,Fruits A-F
Figs,2,42,120,2,0,0,1.9,30,Fruits A-F
"Fresh, raw figs",3 med.,114,90,2,0,0,1,22,Fruits A-F
figs Canned with syrup ,3,115,130,1,0,0,1,32,Fruits A-F
"Fruit cocktail, canned",1 cup,256,195,1,0,0,0.5,50,Fruits A-F
Grapefruit sections,1 cup,250,170,1,0,0,0.5,44,Fruits G-P
"Grapefruit, fresh, 5"" diameter",1/2,285,50,1,0,0,1,14,Fruits G-P
Grapefruit juice,1 cup,250,100,1,0,0,1,24,Fruits G-P
Grapes,1 cup,153,70,1,0,0,0.8,16,Fruits G-P
"European, as Muscat, Tokay",1 cup,160,100,1,0,0,0.7,26,Fruits G-P
Grape juice,1 cup,250,160,1,0,0,0,42,Fruits G-P
